Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
"mi max 2",Android,1300000,"Xiaomi Mi Max 2",64000,2.87,2.46,3.45,,
micromax,Android,24000000,"Micromax Devices",410000,4.46,4.46,4.46,,
"moto c",Android,5000000,"Motorola Moto C",23000,2.45,2.45,2.45,,
"moto c plus",Android,4900000,"Motorola Moto C Plus",8300,3.42,3.23,3.75,,
"moto e",Android,2400000,"Motorola Moto E",1000,0,0,0,,
"moto e (2016)",Android,1900000,"Motorola Moto E (2016)",1000,2.37,2.16,2.65,,
"moto e (2nd gen)",Android,4200000,"Motorola Moto E (2nd gen)",1900,3.17,3.13,3.47,,
"moto e (4th gen)",Android,5900000,"Motorola Moto E (4th gen)",5900,2.79,2.77,2.93,,
"moto e (4th gen) plus",Android,6500000,"Motorola Moto E (4th gen) Plus",9000,2.63,2.58,2.77,,
"moto g",Android,7900000,"Motorola Moto G",3800,5,4.96,5.49,,
"moto g (2nd gen)",Android,910000,"Motorola Moto G (2nd Gen)",1000,2.4,2.05,3.02,,
"moto g (3rd gen)",Android,930000,"Motorola Moto G (3rd Gen)",1000,0,0,0,,
"moto g (4th gen)",Android,11000000,"Motorola Moto G (4th Gen)",2100,2.34,1.97,2.87,,
"moto g 2nd gen",Android,1100,"Motorola Moto G 2nd Gen",1000,0,0,0,,
"moto g 2nd generation",Android,460000,"Motorola Moto G 2nd generation",1000,0,0,0,,
"moto g 4g",Android,240000,"Motorola Moto G 4G",1000,0,0,0,,
"moto g dtv",Android,3000000,"Motorola Moto G DTV",1000,0,0,0,,
"moto g forte",Android,110000,"Motorola Moto G Forte",1000,0,0,0,,
"moto g play",Android,6800000,"Motorola Moto G Play",1000,2.12,1.83,2.61,,
"moto g2",Android,4400000,"Motorola Moto G2",1000,0,0,0,,
"moto g3",Android,10000000,"Motorola Moto G3",11000,2.72,2.6,3,,
"moto g5",Android,7700000,"Motorola Moto G5",1400,2.58,2.22,3.14,,
"moto g5 plus",Android,5700000,"Motorola Moto G5 Plus",1100,2.8,2.3,3.56,,
"moto g5s",Android,3700000,"Motorola Moto G5S",2300,2.1,1.9,2.37,,
"moto g5s plus",Android,3700000,"Motorola Moto G5S Plus",1000,2.57,1.98,3.45,,
"moto x",Android,1600000,"Motorola Moto X",28000,2.33,2.33,2.33,,
"moto x (2nd gen)",Android,840000,"Motorola Moto X (2nd Gen)",1500,3.22,2.85,3.91,,
"moto x play",Android,1900000,"Motorola Moto X Play",9500,4.27,4.27,4.27,,
"moto x pure",Android,1000,"Motorola Moto X Pure",1000,0,0,0,,
"moto z droid",Android,1200000,"Motorola Moto Z Droid",1300,1.96,1.68,2.37,,
"moto z play dual",Android,1200000,"Motorola Moto Z Play Dual",1600,2.88,2.47,3.43,,
"moto z2 play",Android,1600000,"Motorola Moto Z2 Play",1500,4.49,4.06,5.13,,
motorola,Android,1000,"Motorola Devices",140000,2.85,2.85,2.85,,
"neo 3",Android,910000,"Oppo Neo 3",1000,0,0,0,,
"neo 5",Android,5800000,"Oppo Neo 5",1000,1.96,1.48,2.68,,
"neo 7",Android,14000000,"Oppo Neo 7",1100,2.11,1.67,2.72,,
"neo 7s",Android,1100000,"Oppo Neo 7S",1000,1.9,1.5,2.4,,
"nexus 10",Android,380000,"Google Nexus 10",8500,3.06,2.82,3.44,,
"nexus 5",Android,1600000,"Google Nexus 5",53000,2.06,2.02,2.16,,
"nexus 5x",Android,1100000,"Google Nexus 5X",13000,3.4,3.04,4.23,,
"nexus 6",Android,390000,"Google Nexus 6",2800,4.18,4.18,4.18,,
"nexus 6p",Android,1100000,"Google Nexus 6P",7900,2.89,2.49,3.66,,
"nexus 7",Android,3500000,"Google Nexus 7",38000,2.06,2.06,2.17,,
"nexus 9",Android,110000,"Google Nexus 9",1900,2.53,2.22,2.98,,
"note 2",Android,950000,"Infinix Note 2",1000,0,0,0,,
"note 3 neo duos",Android,1000,"Samsung Note 3 Neo Duos",1000,0,0,0,,
"note 4",Android,1000,"Infinix Note 4",1000,0,0,0,,
"nova 2i",Android,1700000,"Huawei Nova 2i",1000,2.81,2.21,3.82,,
"nova lite",Android,9900000,"Huawei Nova Lite",9700,2.37,2.22,2.62,,
"nova young",Android,1100000,"Huawei Nova Young",1000,2.89,2.55,3.44,,
nyx,Android,910000,"Nyx Devices",1000,2.05,2.04,2.19,,
"one (e8)",Android,210000,"Htc One (E8)",5000,2.58,2.42,2.84,,
"one (m7)",Android,2300000,"Htc One (M7)",60000,2.53,2.53,2.72,,
"one (m8)",Android,3400000,"Htc One (M8)",72000,2.34,2.29,2.48,,
"one e9+",Android,1000,"Htc One E9+",6400,3.05,3.05,3.21,,
"one m9",Android,1200000,"Htc One M9",11000,4.34,4.32,4.54,,
"one m9+",Android,260000,"Htc One M9+",2600,3.01,2.97,3.15,,
"one max",Android,170000,"Htc One Max",2600,1.89,1.86,1.97,,
"one mini",Android,340000,"Htc One Mini",16000,3.32,2.95,3.91,,
"one mini 2",Android,18000,"Htc One Mini 2",1000,0,0,0,,
"one sv",Android,46000,"Htc One SV",1000,0,0,0,,
"one touch pixi 3",Android,1000,"Alcatel One Touch Pixi 3",23000,1.98,1.98,1.98,,
"one touch pixi 3 (3.5)",Android,1000000,"Alcatel One Touch Pixi 3 (3.5)",20000,3.03,3.03,3.11,,
"one touch pixi 3 (4.5)",Android,930000,"Alcatel One Touch Pixi 3 (4.5)",52000,2.42,2.42,2.42,,
"one touch pixi 4 (4)",Android,2200000,"Alcatel One Touch Pixi 4 (4)",21000,3.36,3.36,3.36,,
"one touch pixi 4 (5)",Android,3900000,"Alcatel One Touch Pixi 4 (5)",94000,0,0,0,,
"one touch pixi 4 (5.0)",Android,1400000,"Alcatel One Touch Pixi 4 (5.0)",1000,0,0,0,,
"one touch pixi 4 (6)",Android,2000000,"Alcatel One Touch Pixi 4 (6)",7000,2.76,2.74,2.99,,
"one touch pop 3 (5)",Android,1600000,"Alcatel One Touch Pop 3 (5)",43000,2.47,2.47,2.47,,
"one touch pop 3 (5.5)",Android,920000,"Alcatel One Touch Pop 3 (5.5)",31000,2.97,2.84,3.23,,
"one touch pop c1",Android,1800000,"Alcatel One Touch Pop C1",1000,2.59,2.58,2.74,,
